Symbol,HOLDINGS,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
RMTI,Rockwell Medical Inc,<0.01%,Health Care Supplies,US,---,"$955,196.40 ","795,997"
TPCS,TechPrecision Corp,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$952,194.88 ","178,984"
CELU,Celularity Inc,<0.01%,Biotechnology,US,---,"$941,951.43 ","455,049"
SIEB,Siebert Financial Corp,<0.01%,Investment Banking & Brokerage,US,---,"$941,043.00 ","322,275"
NDLS,Noodles & Co,<0.01%,Restaurants,US,---,"$937,828.44 ","1,475,501"
GBIO,Generation Bio Co,<0.01%,Biotechnology,US,---,"$932,755.32 ","152,411"
ANTX,AN2 Therapeutics Inc,<0.01%,Pharmaceuticals,US,---,"$931,407.84 ","733,392"
NRXP,NRX Pharmaceuticals Inc,<0.01%,Pharmaceuticals,US,---,"$920,795.70 ","279,029"
NEUE,NeueHealth Inc,<0.01%,Managed Health Care,US,---,"$918,605.74 ","137,722"
LASE,Laser Photonics Corp,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$913,345.03 ","211,913"
CRWS,Crown Crafts Inc,<0.01%,Textiles,US,---,"$912,020.19 ","313,409"
MAIA,MAIA Biotechnology Inc,<0.01%,Biotechnology,US,---,"$903,425.60 ","586,640"
VANI,Vivani Medical Inc,<0.01%,Health Care Equipment,US,---,"$897,291.57 ","636,377"
GEG,GREAT ELM GROUP INC,<0.01%,Asset Management & Custody Banks,US,---,"$895,058.50 ","365,330"
BEEP,Mobile Infrastructure Corp,<0.01%,Environmental & Facilities Services,US,---,"$887,286.40 ","252,070"
SCYX,SCYNEXIS Inc,<0.01%,Pharmaceuticals,US,---,"$881,157.20 ","1,144,360"
AUID,authID Inc,<0.01%,Systems Software,US,---,"$875,584.82 ","274,478"
BRFH,Barfresh Food Group Inc,<0.01%,Packaged Foods & Meats,US,---,"$869,728.56 ","249,922"
NTRB,Nutriband Inc,<0.01%,Pharmaceuticals,US,---,"$864,231.30 ","122,586"
DIT,AMCON Distributing Co,<0.01%,Distributors,US,---,"$863,552.16 ","7,591"
CPIX,Cumberland Pharmaceuticals Inc,<0.01%,Pharmaceuticals,US,---,"$857,419.68 ","274,814"
FARM,Farmer Bros Co,<0.01%,Packaged Foods & Meats,US,---,"$856,653.57 ","500,967"
TOON,Kartoon Studios Inc,<0.01%,Movies & Entertainment,US,---,"$854,772.29 ","1,158,385"
BIRD,Allbirds Inc,<0.01%,Footwear,US,---,"$854,480.34 ","150,702"
QRHC,Quest Resource Holding Corp,<0.01%,Environmental & Facilities Services,US,---,"$853,987.68 ","547,428"
BDSX,Biodesix Inc,<0.01%,Health Care Services,US,---,"$848,604.90 ","112,398"
LEE,Lee Enterprises Inc,<0.01%,Publishing,US,---,"$844,897.28 ","155,312"
RNTX,Rein Therapeutics Inc,<0.01%,Biotechnology,US,---,"$840,907.47 ","734,417"
IROQ,IF Bancorp Inc,<0.01%,Regional Banks,US,---,"$824,355.14 ","31,927"
SYPR,Sypris Solutions Inc,<0.01%,Automotive Parts & Equipment,US,---,"$820,910.52 ","385,404"
BCAB,BioAtla Inc,<0.01%,Biotechnology,US,---,"$819,310.91 ","1,191,032"
LIVE,Live Ventures Inc,<0.01%,Home Furnishings,US,---,"$811,862.15 ","44,195"
CALC,CalciMedica Inc,<0.01%,Pharmaceuticals,US,---,"$806,874.54 ","267,177"
KLXE,KLX Energy Services Holdings Inc,<0.01%,Oil & Gas Equipment & Services,US,---,"$776,271.36 ","404,308"
BAER,Bridger Aerospace Group Holdings Inc,<0.01%,Diversified Support Services,US,---,"$775,964.00 ","419,440"
TENX,Tenax Therapeutics Inc,<0.01%,Biotechnology,US,---,"$775,907.99 ","101,959"
JOB,GEE Group Inc,<0.01%,Human Resource & Employment Services,US,---,"$774,921.61 ","3,749,016"
VATE,INNOVATE CORP,<0.01%,Construction & Engineering,US,---,"$774,585.78 ","158,402"
BRLT,Brilliant Earth Group Inc,<0.01%,Other Specialty Retail,US,---,"$772,196.94 ","373,042"
KPLT,Katapult Holdings Inc,<0.01%,Consumer Finance,US,---,"$769,303.08 ","64,323"
VTVT,vTv Therapeutics Inc,<0.01%,Biotechnology,US,---,"$766,488.69 ","32,946"
CVU,CPI Aerostructures Inc,<0.01%,Aerospace & Defense,US,---,"$760,619.16 ","301,833"
NMTC,NeuroOne Medical Technologies Corp,<0.01%,Health Care Equipment,US,---,"$759,373.57 ","854,573"
MYO,Myomo Inc,<0.01%,Health Care Equipment,US,---,"$756,098.45 ","847,644"
NXXT,NextNRG Inc,<0.01%,Oil & Gas Storage & Transportation,US,---,"$752,313.00 ","411,100"
ONMD,OneMedNet Corp,<0.01%,Health Care Technology,US,---,"$749,880.76 ","687,964"
KSCP,Knightscope Inc,<0.01%,Security & Alarm Services,US,---,"$748,997.93 ","129,809"
OMCC,Old Market Capital Corp,<0.01%,Consumer Finance,US,---,"$740,178.30 ","145,133"
RDI,Reading International Inc,<0.01%,Movies & Entertainment,US,---,"$731,460.24 ","497,592"
ACRV,Acrivon Therapeutics Inc,<0.01%,Biotechnology,US,---,"$730,530.48 ","403,608"
OPXS,Optex Systems Holdings Inc,<0.01%,Aerospace & Defense,US,---,"$728,310.78 ","56,502"
MHH,Mastech Digital Inc,<0.01%,Human Resource & Employment Services,US,---,"$727,554.48 ","95,432"
SLNG,Stabilis Solutions Inc,<0.01%,Oil & Gas Storage & Transportation,US,---,"$725,059.28 ","166,298"
